"177Bourdeaux",,,4435.150N,00508.050E,410.0m,1,,,,,"Eglise",,
"178Bourg Saint Maurice",,,4537.083N,00646.267E,810.0m,1,,,,,"Gare",,
"179Briancon",,,4453.383N,00638.000E,1230.0m,1,,,,,"Gare",,
"180Brig",,,4619.000N,00759.000E,800.0m,1,,,,,"Gare",,
"181Brignolles",,,4325.350N,00604.067E,250.0m,1,,,,,"Echangeur",,
"182Brunet",,,4353.883N,00601.683E,405.0m,1,,,,,"Pont",,
"183Buochs",Buochs,,4658.417N,00823.700E,444.0m,2,0,0.0m,,"119.625",,,
"184Burgdorf",,,4703.633N,00737.283E,530.0m,1,,,,,"Gare",,
"185Butwill",Butwill,,4716.000N,00818.233E,723.0m,2,0,0.0m,,"122.150",,,
"186Cadenet",Cadenet,,4344.184N,00522.518E,210.0m,1,,,,,"Eglise",,
"187Caiolo",Caiolo,,4609.300N,00948.000E,290.0m,2,0,0.0m,,"129.500",,,
"188Calcinate",Calciate,,4548.600N,00846.083E,244.0m,2,0,0.0m,,"128.450",,,
"189Cannes Aero",Cannes,,4332.783N,00657.250E,3.0m,5,170,1610.0m,,"118.625",,,
"190Carces Barrage",Carceage,,4327.768N,00612.618E,170.0m,1,,,,,"Barrage",,
"191Carpentras Ville",Carpelle,,4403.323N,00502.903E,91.0m,1,,,,,"Ville",,
"192Castillon Barrage",Castiage,,4352.716N,00632.232E,885.0m,1,,,,,"Barrage",,
"193Cavaillon Ville",Cavaille,,4350.108N,00502.424E,80.0m,1,,,,,"Cavaillon",,
"194Cervin",,,4558.717N,00739.650E,4478.0m,1,,,,,"Sommet",,
"195Chabimont",,,4403.283N,00601.200E,430.0m,1,,,,,"Arrivee",,
"196Chalais",,,4517.550N,00540.700E,1150.0m,1,,,,,"Couvent",,
"197Chamonix",,,4555.233N,00652.250E,1087.0m,1,,,,,"Gare",,
"198Chamrousse",,,4507.500N,00552.633E,1930.0m,1,,,,,"Telepheri",,
"199Charbonnel",,,4516.517N,00703.217E,3750.0m,1,,,,,"Sommet",,
"200Charrat",,,4607.100N,00707.600E,457.0m,1,,,,,"2Champ CH",,
"201Chateau Queyras",Chateras,,4445.318N,00647.298E,1450.0m,1,,,,,"Chateau",,
"202Chateauneuf Val Saint Donat",Chatenat,,4405.532N,00556.952E,560.0m,1,,,,,"Eglise",,
"203Chatillon en Diois",Chatiois,,4441.683N,00529.133E,570.0m,1,,,,,"Eglise",,
"204Chavailles",,,4409.867N,00627.733E,1190.0m,1,,,,,"Eglise",,
"205Chur",,,4651.533N,00931.583E,600.0m,1,,,,,"Gare",,
"206Col Aecher",Col Aecher,,4654.617N,00820.600E,1398.0m,6,,,,,"Col Aech",,
"207Col Agnel",Col Agnel,,4441.200N,00658.550E,2744.0m,6,,,,,"Col Agne",,
"208Col Albrunh",CAlbrunh,,4622.217N,00817.750E,2409.0m,6,,,,,"Col Albr",,
"209Col Albula",Col Albula,,4634.917N,00950.250E,2312.0m,6,,,,,"Col Albu",,
"210Col Allos",Col Allos,,4417.883N,00635.700E,2247.0m,6,,,,,"Col Allo",,
"211Col Aprica",Col Aprica,,4609.317N,01009.550E,1176.0m,6,,,,,"Col Apri",,
"212Col Aravis",Col Aravis,,4552.950N,00627.900E,1490.0m,6,,,,,"Col Arav",,
"213Col Arche",Col Arche,,4425.500N,00654.000E,1948.0m,6,,,,,"Col Arch",,
"214Col Balme",Col Balme,,4601.550N,00658.200E,2204.0m,6,,,,,"Col de B",,
"215Col Basmont",CBasmont,,4533.133N,00623.333E,1791.0m,6,,,,,"Col de B",,
"216Col Bataille",CBatalle,,4454.000N,00513.900E,1313.0m,6,,,,,"Col Bata",,
"217Col Bruenig",CBruenig,,4645.450N,00808.300E,1008.0m,6,,,,,"Col Brue",,
"218Col Cabre",Col Cabre,,4432.983N,00535.917E,1180.0m,6,,,,,"Col Cabr",,
"219Col Caduc",Col Caduc,,4414.467N,00632.433E,2392.0m,6,,,,,"Col Cadu",,
"220Col Carro",Col Carro,,4525.800N,00707.583E,3122.0m,6,,,,,"Col Carr",,
"221Col Cayolle",CCayolle,,4415.583N,00644.567E,2326.0m,6,,,,,"Col Cayo",,
"222Col Cenis",Col Cenis,,4515.400N,00654.000E,2083.0m,6,,,,,"Col Ceni",,
"223Col Cine",Col Cine,,4407.000N,00624.000E,1505.0m,6,,,,,"Col Cine",,
"224Col Corgella",CCorglla,,4608.783N,00901.917E,1703.0m,6,,,,,"Col Corg",,
"225Col CroixHaute",CCroiute,,4443.433N,00540.567E,1176.0m,6,,,,,"Col Croi",,
"226Col Deux Soeurs",C2Soeurs,,4500.816N,00534.998E,2056.0m,6,,,,,"Col 2 so",,
"227Col Echelle",CEchelle,,4501.767N,00639.767E,1766.0m,6,,,,,"Col Eche",,
"228Col Encombre",CEncobre,,4517.633N,00627.850E,2325.0m,6,,,,,"Col Enco",,
"229Col Etache",Col Etache,,4509.000N,00648.800E,2781.0m,6,,,,,"Col Etac",,
"230Col Eusche",Col Eusche,,4637.950N,00717.133E,1567.0m,6,,,,,"Col Eusc",,
"231Col Faucille",ColFalle,,4622.200N,00601.134E,1320.0m,6,,,,,"Centre",,
"232Col Ferret",Col Ferret,,4553.283N,00704.667E,2537.0m,6,,,,,"Col Ferr",,
"233Col Festre",Col Festre,,4440.000N,00551.500E,1441.0m,6,,,,,"Col Fest",,
"234Col Fluela",Col Fluela,,4645.033N,00956.517E,2383.0m,6,,,,,"Col Flue",,
"235Col Forcla",Col Forcla,,4603.333N,00700.017E,1526.0m,6,,,,,"Col Forc",,
"236Col Forcol",Col Forcol,,4619.417N,00917.817E,2226.0m,6,,,,,"Col Forc",,
"237Col Freissiniere",CFreinir,,4444.367N,00621.367E,2782.0m,6,,,,,"Col Frei",,
"238Col Frejus",Col Frejus,,4507.400N,00640.567E,2542.0m,6,,,,,"Col Frej",,
"239Col Furkapass",CFurkass,,4634.467N,00825.167E,2431.0m,6,,,,,"Col Furk",,
"240Col Galibier",CGaliier,,4503.883N,00624.400E,2645.0m,6,,,,,"Col Gali",,
"241Col Gaviao",Col Gaviao,,4620.583N,01029.417E,2620.0m,6,,,,,"Col Gavi",,
"242Col Glandon",CGlandon,,4514.400N,00610.550E,1924.0m,6,,,,,"Col Glan",,
"243Col Gotthard",CGottard,,4633.233N,00834.067E,2108.0m,6,,,,,"Col Gott",,
"244Col Grand Saint Bernard",CGdStnar,,4552.098N,00710.248E,2469.0m,6,,,,,"Col Gd S",,
"245Col Granon",Col Granon,,4458.000N,00636.500E,2413.0m,6,,,,,"Col Gran",,
"246Col Grimsel",CGrimsel,,4633.633N,00820.200E,2165.0m,6,,,,,"Col Grim",,
"247Col Iseran",Col Iseran,,4525.067N,00701.783E,2770.0m,6,,,,,"Col Iser",,
"248Col Izoard",Col Izoard,,4449.200N,00644.033E,2360.0m,6,,,,,"Col Izoa",,
"249Col Lautaret",CLautret,,4502.150N,00624.233E,2058.0m,6,,,,,"Col Laut",,
"250Col Limouch",CLimouch,,4453.083N,00509.233E,1086.0m,6,,,,,"Col Limo",,
"251Col Loetsc",Col Loetsc,,4628.483N,00757.633E,3178.0m,6,,,,,"Col Loet",,
"252Col Longet",Col Longet,,4438.667N,00657.000E,2646.0m,6,,,,,"Col Long",,
"253Col Lukmanier",CLukmier,,4633.733N,00848.083E,1916.0m,6,,,,,"Col Lukm",,
"254Col Madeleine",CMadeine,,4526.100N,00622.917E,1993.0m,6,,,,,"Col Made",,
"255Col Maloja",Col Maloja,,4623.850N,00941.700E,1815.0m,6,,,,,"Col Malo",,
"256Col Monges",Col Monges,,4416.083N,00608.967E,1720.0m,6,,,,,"Col Mong",,
"257Col Montgeneve",CMonteve,,4455.800N,00643.817E,1853.0m,6,,,,,"Col Mont",,
"258Col Mosses",Col Mosses,,4623.967N,00706.167E,1445.0m,6,,,,,"Col Moss",,
"259Col Nivolet",CNivolet,,4529.400N,00708.700E,2612.0m,6,,,,,"Col Nivo",,
"260Col Nufenen",CNufenen,,4628.583N,00823.250E,2478.0m,6,,,,,"Col Nufe",,
"261Col Oberalp",COberalp,,4639.483N,00840.267E,2044.0m,6,,,,,"Col Ober",,
"262Col Ofen",Col Ofen,,4638.367N,01017.567E,2149.0m,6,,,,,"Col Ofen",,
"263Col Pas de la Cavale",ColCaval,,4446.134N,00621.234E,2735.0m,6,,,,,"Col Pas de la Cavale",,
"264Col Pelouse",CPelouse,,4508.550N,00645.000E,2798.0m,6,,,,,"Col Pelo",,
"265Col Perty",Col Perty,,4417.000N,00534.000E,1302.0m,6,,,,,"Col Pert",,
"266Col Petit Saint Bernard",CPettrnr,,4540.734N,00653.016E,2188.0m,6,,,,,"Col pett",,